image_id,caption
25793,"Upside down frozen dinner box on the edge of an ivory color counter next to the stainless steel sink, a white plastic dish rack, a pink plastic glass, and the lower cabinet fronts are visible as is the blue shirt of the photographer."
25794,A  steel can is placed horizontally  on a  white towel.
25795,2 oval black bead sitting on an unstained bear wooden surface
25796,a yellow labelled bottle containing a blend  pepper
25797,Control knob of a washer in the off position of the normal setting
25798,A person is holding a white color keyboard in his hand
25799,white ceiling tile with white three blade fan installed
25800,A bottle of Nature's Blend Vitamin D3 2000 IU with 100 tablets.
25801,a can of pinto beans on a counter top
25802,a close up picture of Sergio Mendes brasileiro
25803,A person holding a green bottle of spice with a white label.
25804,Bottle of Don Limpio Bano sitting on the ground
25805,A close up of a geometry problem is shown.
25806,A white crystal light jar sitting sideways on a white table.
25807,Quality issues are too severe to recognize visual content.
25808,Slight side view of someone wearing jean material pants that have a rhinestone design below the pocket.
25809,a black can containing something with sweet onion and ranch flavor
25810,A tin can of whole kernel sweet corn is on the flat top electric stove.
25811,a box of Betty Crocker wild blueberry muffin mix
25812,Quality issues are too severe to recognize visual content.
25813,Quality issues are too severe to recognize visual content.
25814,A bag of Cheetos on a beige carpet with wires.
25815,a dark bottle on a wood table surface
25816,"A green piece of paper with the word storage written on it, attached to a grey wall."
25817,Some things are placed next to a bucket and an electronic device.
25818,The foil wrapper from a potted plant is displayed on a piece of gray fabric.
25819,An iPhone that has a cracked screen and is showing the phone's home screen.
25820,Quality issues are too severe to recognize visual content.
25821,A person is holding a pill bottle in their hand.
25822,imagine how you would describe this image on the phone to a friend.
25823,A piece of red fabric on top of another piece of red fabric.
25824,Approximately three fourths of a Honeywell thermostat hanging on a wall.
25825,A closeup of a hand wearing a diamond ring.
25826,A little bottle of motrin and a tea pot.
25827,Top of a can with a price label that reads grocery one dollar and thirty-nine cents
25828,appears to be a picture of a walkie talkie
25829,a white tissue paper placed on a white object
25830,Michelina's brand Beef and peppers single serve dinner
25831,A wooden table top that has staining on it
25832,Green canned soup with food label showing on top of aGre
25833,A small dog with a fluffy head and a hairless front torso and legs.
25834,The lid off of a container of Seasoned Chicken with Mushroom Risotto.
25835,a bowl of food vegetable meat and noodle
25836,Bottle of some medicated anti-bacterial gentle foaming hand soap.
25837,A person is holding a container of beef that is packaged.
25838,The entrance doors of a bar or restaurant
25839,a plaid shirt that is green and blue and white
25840,"A piece of woven fabric has bright yellow, brown, and light blue strands woven and a yellow translucent button."
25841,A large bright green tree on manicured grass in front of several darker trees.
25842,Quality issues are too severe to recognize visual content.
25843,The front side of a house showing the window and door
25844,The back of a blister pack of pills
25845,A laptop is on a desk and there are wires around it
25846,"A small package of a gourmet chocolate desert, the package label reads flutes."
25847,A clothing label in a foreign language is on a white clothing article.
25848,A picture frame with people in a hurry inside of it
25849,a container of Campbell's soup on a counter top
25850,appears to be a picture of traditional Japanese incense
25851,Front side of a Frozen TV dinner box with food
25852,A red and yellow glass jar of tomato sauce
25853,A light blue plastic package containing miracle whip
25854,Quality issues are too severe to recognize visual content.
25855,A product for home improvement sitting on top of the restroom sink area.
25856,A spray bottle and package for nuts on a table.
25857,Here is a picture of a bed and someone sitting on the floor.
25858,A can of store brand corn is sitting on the counter
25859,Quality issues are too severe to recognize visual content.
25860,a person holding up a can of food with a barcode on it
25861,A Camelbak reusable water bottle sitting on a table.
25862,Bottle of cough syrup laying on a wood surface.
25863,Some kind of snack container is turned so the nutrition information is shown.
25864,A green and black cylinder on a table.
25865,A ketchup bottle is on the cabinet in front of a coffee maker.
25866,A description and list of several formulas or equations.
25867,It looks like a very very dusty microwave.
25868,A close up of a shirt or article of clothing with a Richmond brand title.
25869,three quarters of a can of diet coke (the bottom half is not visible).
25870,A specs on the bed it colored brown.
25871,a Banquet Salisbury steak and brown gravy frozen dinner package
25872,a close up picture of a blue cup sitting on a black keyboard
25873,in this image is a plastic bag and a black strap on a table
25874,A woman's left hand is holding a small bright green round jar while a board and the top of a chair are in the background.
25875,The tables and seats are set inside of a restaurant.
25876,Picture of a hand holding a pair of headphones.
25877,Frozen chicken burgers to make for a meal and enjoy.
25878,Part of a keyboard of a laptop computer is shown along with a small portion of the lit up screen.
25879,a green shirt with many different patterns and text on it.
25880,a black colored object with some buttons on it
25881,Quality issues are too severe to recognize visual content.
25882,A silver wireless keyboard for a mac computer.
25883,Quality issues are too severe to recognize visual content.
25884,A person holds a small package of ready to eat foods in their hand.
25885,A container of fruity drink mix pouches on the stovetop.
25886,Quality issues are too severe to recognize visual content.
25887,a leg in some jeans on the couch or chair
25888,Quality issues are too severe to recognize visual content.
25889,Quality issues are too severe to recognize visual content.
25890,Quality issues are too severe to recognize visual content.
25891,"Bottle of soda on a desk, dresser, or counter top."
25892,Brown coat hanging on a closet door with the TV on
25893,a box of SuperValu Lemon crunch cookies
25894,A religious greeting card sitting on a counter top.
25895,Quality issues are too severe to recognize visual content.
